EventCode,action,change_type,object_category
517,cleared,audit,audit
1100,stopped,audit,audit
1102,cleared,audit,audit
4720,created,user,user
4741,created,user,user
624,created,user,user
645,created,user,user
4722,modified,user,user
626,modified,user,user
4723,modified,user,user
627,modified,user,user
4724,modified,user,user
628,modified,user,user
4725,modified,user,user
629,modified,user,user
4726,deleted,user,user
4743,deleted,user,user
630,deleted,user,user
647,deleted,user,user
4738,modified,user,user
4742,modified,user,user
642,modified,user,user
646,modified,user,user
4740,modified,user,user
644,modified,user,user
625,modified,user,user
671,modified,user,user
4767,modified,user,user
1101,success,audit,audit
1108,success,audit,audit
4719,,audit,audit
4717,,AAA,security access
4718,,AAA,security access
4727,,AAA,global group
4728,,AAA,user
4729,,AAA,user
4730,,AAA,global group
4731,,AAA,local group
4732,,AAA,user
4733,,AAA,user
4734,,AAA,local group
4735,,AAA,local group
4737,,AAA,global group
4739,,AAA,global group
4750,,AAA,global group
4753,,AAA,global group
4754,,AAA,universal group
4755,,AAA,universal group
4756,,AAA,user
4757,,AAA,user
4758,,AAA,universal group
4764,,AAA,group
4781,,AAA,user