EventCode,change_type,object_attrs,object_category,result
1100,,service,,
1101,audit,transport,audit,
1102,,registry,,
1108,audit,Microsoft-Windows-Security-Auditing,audit,
4719,audit,Kerberos Authentication Service,audit,
4717,AAA,,security access,access was granted
4718,AAA,,security access,account was removed
4720,,,,account was created
4722,,,,account was enabled
4723,,password,,
4724,,password,,
4725,,,,account was disabled
4726,,,,account was deleted
4727,AAA,,global group,group was created
4728,AAA,,user,member was added to a security-enabled global group
4729,AAA,,user,member was removed from a security-enabled global group
4730,AAA,,global group,group was deleted
4731,AAA,,local group,group was created
4732,AAA,,user,member was added to a security-enabled local group
4733,AAA,,user,member was removed from a security-enabled local group
4734,AAA,,local group,group was deleted
4735,AAA,,local group,group was changed
4737,AAA,,global group,group was changed
4738,,,,account was changed
4739,AAA,domain policy,global group,Domain Policy was changed
4740,,,,lockout
4741,,computer account,,account was created
4742,,computer account,,account was changed
4743,,computer account,,account was deleted
4750,AAA,,global group,group was changed
4753,AAA,,global group,group was deleted
4754,AAA,,universal group,group was created
4755,AAA,,universal group,group was changed
4756,AAA,,user,member was added to a security-enabled universal group
4757,AAA,,user,member was removed from a security-enabled universal group
4758,AAA,,universal group,group was deleted
4764,AAA,,group,group was deleted
4767,AAA,,user,unlocked
4781,AAA,name,user,account was changed
5461,AAA,registry,policy,failed